54,TURNER,348627,64.25%,30.13%,0.42%,0.60%,2.38%,2.23%,0.196%,1955,,,
55,DIAZ,347636,5.19%,0.65%,1.19%,0.16%,0.25%,92.56%,0.195%,1950,,,
56,PARKER,336221,69.17%,24.79%,0.54%,0.88%,2.35%,2.26%,0.189%,1886,,,
57,CRUZ,334201,5.17%,0.80%,5.19%,0.27%,0.70%,87.88%,0.187%,1874,,,
58,EDWARDS,332423,62.13%,31.63%,0.50%,0.77%,2.47%,2.50%,0.186%,1864,,,
59,COLLINS,329770,71.61%,22.43%,0.49%,0.77%,2.23%,2.47%,0.185%,1849,,,
60,REYES,327904,4.41%,0.59%,5.58%,0.24%,0.59%,88.58%,0.184%,1839,,,
61,STEWART,324957,69.17%,24.86%,0.48%,0.77%,2.24%,2.49%,0.182%,1822,,,
62,MORRIS,318884,73.59%,20.08%,0.57%,0.98%,2.24%,2.55%,0.179%,1788,,,
63,MORALES,311777,4.63%,0.57%,1.18%,0.17%,0.21%,93.23%,0.175%,1748,,,
64,MURPHY,308417,83.11%,11.53%,0.58%,0.68%,1.76%,2.34%,0.173%,1730,,,
65,COOK,302589,81.80%,12.55%,0.57%,0.92%,1.98%,2.17%,0.170%,1697,,,
66,ROGERS,302261,75.40%,18.53%,0.54%,0.82%,2.10%,2.62%,0.170%,1695,,,
67,GUTIERREZ,293218,4.57%,0.24%,1.40%,0.25%,0.20%,93.33%,0.164%,1644,,,
68,ORTIZ,286899,4.96%,0.64%,0.67%,0.37%,0.25%,93.11%,0.161%,1609,,,
69,MORGAN,286280,76.07%,17.27%,0.54%,1.24%,2.10%,2.78%,0.161%,1606,,,
70,COOPER,280791,67.93%,26.13%,0.50%,0.74%,2.31%,2.40%,0.157%,1575,,,
71,PETERSON,278297,84.39%,10.09%,0.66%,0.74%,1.72%,2.40%,0.156%,1561,,,
72,BAILEY,277845,72.45%,22.00%,0.50%,0.62%,2.16%,2.28%,0.156%,1558,,,
73,REED,277030,71.29%,22.63%,0.51%,1.05%,2.30%,2.22%,0.155%,1554,,,
74,KELLY,267394,78.09%,16.22%,0.64%,0.54%,1.81%,2.69%,0.150%,1500,,,
75,HOWARD,264826,64.31%,29.49%,0.50%,0.87%,2.46%,2.37%,0.149%,1485,,,
76,RAMOS,263464,6.49%,0.98%,4.89%,0.19%,0.65%,86.79%,0.148%,1478,,,
77,KIM,262352,2.52%,0.39%,94.47%,0.02%,1.96%,0.65%,0.147%,1471,,,
78,COX,261231,82.62%,12.07%,0.50%,0.67%,1.82%,2.33%,0.147%,1465,,,
79,WARD,260464,75.58%,18.50%,0.49%,0.91%,2.08%,2.44%,0.146%,1461,,,
80,RICHARDSON,259798,59.70%,33.63%,0.48%,1.10%,2.44%,2.65%,0.146%,1457,,,
81,WATSON,252579,66.03%,27.90%,0.53%,0.82%,2.30%,2.41%,0.142%,1417,,,
82,BROOKS,251663,60.22%,33.47%,0.48%,0.79%,2.56%,2.48%,0.141%,1411,,,
83,CHAVEZ,250898,5.02%,0.21%,0.65%,0.94%,0.23%,92.96%,0.141%,1407,,,
84,WOOD,250715,88.72%,5.57%,0.66%,0.84%,1.79%,2.42%,0.141%,1406,,,
85,JAMES,249379,51.58%,38.86%,1.27%,2.58%,2.64%,3.08%,0.140%,1399,,,
86,BENNETT,247599,76.56%,17.53%,0.53%,0.88%,1.99%,2.50%,0.139%,1389,,,
87,GRAY,246116,68.68%,25.13%,0.54%,0.91%,2.33%,2.41%,0.138%,1380,,,
88,MENDOZA,242771,4.11%,0.35%,4.91%,0.24%,0.42%,89.97%,0.136%,1362,,,
89,RUIZ,238234,5.17%,0.44%,1.03%,0.22%,0.24%,92.89%,0.134%,1336,,,
90,HUGHES,236271,78.39%,16.13%,0.50%,0.53%,1.97%,2.47%,0.133%,1325,,,
91,PRICE,235251,73.93%,20.51%,0.51%,0.66%,2.14%,2.24%,0.132%,1319,,,
92,ALVAREZ,233983,5.18%,0.60%,1.16%,0.38%,0.23%,92.45%,0.131%,1312,,,
